  
  Module ID	Epic/Feature	Module Name	Description	Dependencies	Priority	Owner	Estimated Effort	User Story	Acceptance Criteria	Backend task
M017	In-Lesson AI	Visual Reels/Clips/Some timestamp of the lesson	"AI shows short clips to explain concepts,
Timestamps refering to the topic"	M018	P1	RS(Reels)/JG(Video Summaries)		As a student, I want visual explanations when text isn't enough	"1. AI suggests visual reels
2. Thumbnail previews shown
3. Click to play in overlay
4. 'Reel is Playing' indicator
5. Click on the timestamp and that portion of the lesson starts playing"	
M018	In-Lesson AI	Professor Question Detection	AI detects when professor asks question in video	M011, M005	P1			As a student, I want to be prompted to think when professor asks questions	"1. Video auto-pauses on detected question
2. AI asks 'Want to think through it?'
3. 'Yes, I'll Try' / 'No, continue video' options"	
M019	In-Lesson AI	"Concept Completion Quiz (when highlight/topic ends)
(Formative Assessment)"	End-of-concept MCQ assessment	M020	P0	PS		As a student, I want to test my understanding after learning a concept	"1. Multi-choice question format 
2. Submit button
3. Immediate feedback"	
M020	In-Lesson AI	Hint System	AI provides hints without giving full answer	M020	P1	PS		As a student, I want hints when I'm stuck so I can figure it out myself	"1. 'Give me a hint' button available
2. AI provides scaffolded hint
3. Can request multiple hints
4. 'Continue to Video' option after"	
M021	In-Lesson AI	Peer Learning Space	Section showing other students' activity (future feature placeholder)	M011	P3			As a student, I want to see what other students are discussing	"1. 'Peer Learning Space' section visible
2. Placeholder for future emoji annotations
3. Community engagement area"	
M022	Assessment	Confidence Rating & Adaptive Revision Paths	"Student rates their confidence level (emoji scale)
AI suggests personalized revision options based on confidence"	M024	P1			As a student, I want to rate how confident I feel about a topic,  I want revision options suited to my needs	"1. 5-point emoji scale displayed
2. 'Not confident' to 'Very confident' labels
3. Submit Confidence button
4. Rating saved for analytics
5. AI acknowledges confidence rating
6. Shows revision options: Quick Reel, Smart Summary, Full Video, Practice Questions
7. Each option clearly described"	
M023	Course Admin	Course Search	Search functionality within platform	M002	P2			As a student, I want to search for specific content	"1. Search icon in header area
2. Opens search modal/dropdown
3. Returns relevant courses/lessons"	
M024	Study Tools	Quiz Module	Standalone quiz lessons with attempt tracking	M009	P1			As a student, I want to take quizzes to test my knowledge	"1. Quiz interface with multiple questions
2. 'Attempted' status tracking
3. Score display after completion"	
M025	Analytics	Learning Analytics Dashboard	Track student progress, time spent, performance	M010, M025	P2			As a platform admin, I want to see student engagement metrics	"1. Time spent per lesson
2. Quiz scores
3. Confidence ratings over time
4. Completion rates"	
M026	Backend	RAG Pipeline Integration	Video content indexed for semantic search	M018	P1	AP	DONE	As a student, I want AI to find relevant video moments for my questions	"1. Video transcripts indexed
2. Semantic search returns relevant timestamps
3. AI references specific video moments"	
M027	Backend	LiveKit Voice Pipeline	STT → LLM → TTS real-time voice conversation	M006, M007	P1	AP		As a student, I want seamless voice conversations with the AI	"1. Low-latency STT transcription
2. LLM processes and responds
3. TTS speaks response
4. < 2 second end-to-end latency"	
M028	Localization	Hindi Language Support	UI and AI responses in Hindi	M005, M006, M007	P3			As a Hindi-speaking student, I want to learn in my native language	"1. UI labels in Hindi
2. AI responds in Hindi when asked
3. Hindi voice input/output"	
M029	Localization	Regional Language Framework	Framework for adding Tamil, Telugu, Bengali, etc.	M034	P3			As a regional language speaker, I want content in my language	"1. Language selection in settings
2. Scalable translation framework
3. Regional TTS/STT support"	
